geo,sector,year,elec_carb_int_inp,elec_gen_GWh_inp,elec_value_inp,emis_int_inp,emissions_MtCo2_inp,ind_val_add_2019_bln_inp,pcap_emis_int_inp,pop_inp,resi_emis_int_inp,tokeep,emissions_MtCo2_finaly,ind_val_add_2019_bln_finaly,elec_gen_GWh_finaly,emissions_MtCo2_trend,emis_int_trend,ind_val_add_2019_bln_trend,elec_gen_GWh_trend,baseyear,emissions_MtCo2_baseyear,yrs_since_final_obs,ind_val_add_multiplier,elec_gen_GWh_multiplier,ind_val_add_output,elec_gen_GWh_output,emissions_MtCo2_output,emis_int_outp,elec_carb_int_outp,population
VIC,"Gas, Water & Waste Services",2014,,,,0.5277585225539796,2.496199999999994,4.72981466584404,,,,0,7.6665899999999985,5.365394817004874,,0.09937111111111098,0.9574534199831893,1.0589313798660749,,2005,7.1576299999999975,-4.0,0.7952958703030507,,4.72981466584404,,2.496199999999994,0.5277585225539794,,5.8949169999999995
VIC,"Gas, Water & Waste Services",2015,,,,1.278131131896511,6.139089999999997,4.803176956413476,,,,0,7.6665899999999985,5.365394817004874,,0.09937111111111098,0.9574534199831893,1.0589313798660749,,2005,7.1576299999999975,-3.0,0.8421637533418004,,4.803176956413476,,6.139089999999997,1.2781311318965114,,6.022322
VIC,"Gas, Water & Waste Services",2016,,,,1.475231072358494,7.362789999999998,4.990940157075796,,,,0,7.6665899999999985,5.365394817004874,,0.09937111111111098,0.9574534199831893,1.0589313798660749,,2005,7.1576299999999975,-2.0,0.8917936253994254,,4.990940157075796,,7.362789999999998,1.475231072358494,,6.173172
VIC,"Gas, Water & Waste Services",2017,,,,2.533012041908644,13.233630000000005,5.224463911363156,,,,0,7.6665899999999985,5.365394817004874,,0.09937111111111098,0.9574534199831893,1.0589313798660749,,2005,7.1576299999999975,-1.0,0.944348254299983,,5.224463911363156,,13.233630000000005,2.5330120419086435,,6.320292
VIC,"Gas, Water & Waste Services",2018,,,,1.4288957777537281,7.6665899999999985,5.365394817004874,,,,0,7.6665899999999985,5.365394817004874,,0.09937111111111098,0.9574534199831893,1.0589313798660749,,2005,7.1576299999999975,0.0,1.0,1.0,5.365394817004874,,7.6665899999999985,1.4288957777537277,,6.46589
VIC,"Gas, Water & Waste Services",2019,,,,,,,,,,0,7.6665899999999985,5.365394817004874,,0.09937111111111098,0.9574534199831893,1.0589313798660749,,2005,7.1576299999999975,1.0,1.0589313798660749,,5.6815849370972575,,7.7659611111111095,1.3668652668385113,,6.614083
VIC,"Gas, Water & Waste Services",2020,,,,,,,,,,0,7.6665899999999985,5.365394817004874,,0.09937111111111098,0.9574534199831893,1.0589313798660749,,2005,7.1576299999999975,2.0,1.1213356672650694,,6.016408577266705,,7.865332222222221,1.307313511243529,,6.760752
VIC,"Gas, Water & Waste Services",2021,,,,,,,,,,0,7.6665899999999985,5.365394817004874,,0.09937111111111098,0.9574534199831893,1.0589313798660749,,2005,7.1576299999999975,3.0,1.1874175254300456,,6.37096383656312,,7.964703333333332,1.2501567325847467,,6.904453
VIC,"Gas, Water & Waste Services",2022,,,,,,,,,,0,7.6665899999999985,5.365394817004874,,0.09937111111111098,0.9574534199831893,1.0589313798660749,,2005,7.1576299999999975,4.0,1.2573936786807984,,6.746413526528648,,8.064074444444442,1.1953128003100328,,7.045656
VIC,"Gas, Water & Waste Services",2023,,,,,,,,,,0,7.6665899999999985,5.365394817004874,,0.09937111111111098,0.9574534199831893,1.0589313798660749,,2005,7.1576299999999975,5.0,1.3314936232003378,,7.143988984794133,,8.163445555555553,1.1427013077611565,,7.1832199999999995
VIC,"Gas, Water & Waste Services",2024,,,,,,,,,,0,7.6665899999999985,5.365394817004874,,0.09937111111111098,0.9574534199831893,1.0589313798660749,,2005,7.1576299999999975,6.0,1.4099603796984133,,7.56499411341609,,8.262816666666664,1.092243634666288,,7.317283
VIC,"Gas, Water & Waste Services",2025,,,,,,,,,,0,7.6665899999999985,5.365394817004874,,0.09937111111111098,0.9574534199831893,1.0589313798660749,,2005,7.1576299999999975,7.0,1.4930512904305357,,8.010809655198434,,8.362187777777775,1.0438629973377687,,7.447358
VIC,"Gas, Water & Waste Services",2026,,,,,,,,,,0,7.6665899999999985,5.365394817004874,,0.09937111111111098,0.9574534199831893,1.0589313798660749,,2005,7.1576299999999975,8.0,1.581038863186431,,8.482897722023754,,8.461558888888886,0.9974844877500448,,7.57304
VIC,"Gas, Water & Waste Services",2027,,,,,,,,,,0,7.6665899999999985,5.365394817004874,,0.09937111111111098,0.9574534199831893,1.0589313798660749,,2005,7.1576299999999975,9.0,1.6742116650158976,,8.982806590045397,,8.560929999999997,0.9530351025799757,,7.694223
VIC,"Gas, Water & Waste Services",2028,,,,,,,,,,0,7.6665899999999985,5.365394817004874,,0.09937111111111098,0.9574534199831893,1.0589313798660749,,2005,7.1576299999999975,10.0,1.7728752686231632,,9.512175777466844,,8.660301111111108,0.9104437632057094,,7.8149679999999995
VIC,"Gas, Water & Waste Services",2029,,,,,,,,,,0,7.6665899999999985,5.365394817004874,,0.09937111111111098,0.9574534199831893,1.0589313798660749,,2005,7.1576299999999975,11.0,1.8773532545335645,,10.072741421561618,,8.75967222222222,0.8696413275805279,,7.935141000000001
VIC,"Gas, Water & Waste Services",2030,,,,,,,,,,0,7.6665899999999985,5.365394817004874,,0.09937111111111098,0.9574534199831893,1.0589313798660749,,2005,7.1576299999999975,12.0,1.9879882723192939,,10.666341972568413,,8.85904333333333,0.8305605948240667,,8.054587
VIC,"Gas, Water & Waste Services",2031,,,,,,,,,,0,7.6665899999999985,5.365394817004874,,0.09937111111111098,0.9574534199831893,1.0589313798660749,,2005,7.1576299999999975,13.0,2.105143164364644,,11.2949242231353,,8.958414444444442,0.7931363033047176,,8.173184
VIC,"Gas, Water & Waste Services",2032,,,,,,,,,,0,7.6665899999999985,5.365394817004874,,0.09937111111111098,0.9574534199831893,1.0589313798660749,,2005,7.1576299999999975,14.0,2.229202155856288,,11.960549693087417,,9.057785555555553,0.7573051229234462,,8.290777
VIC,"Gas, Water & Waste Services",2033,,,,,,,,,,0,7.6665899999999985,5.365394817004874,,0.09937111111111098,0.9574534199831893,1.0589313798660749,,2005,7.1576299999999975,15.0,2.360572114901328,,12.665401390457818,,9.157156666666664,0.7230056422503683,,8.407316
VIC,"Gas, Water & Waste Services",2034,,,,,,,,,,0,7.6665899999999985,5.365394817004874,,0.09937111111111098,0.9574534199831893,1.0589313798660749,,2005,7.1576299999999975,16.0,2.4996838869058418,,13.4117909709552,,9.256527777777775,0.6901783511108894,,8.522802
VIC,"Gas, Water & Waste Services",2035,,,,,,,,,,0,7.6665899999999985,5.365394817004874,,0.09937111111111098,0.9574534199831893,1.0589313798660749,,2005,7.1576299999999975,17.0,2.6469937075901964,,14.202166319348954,,9.355898888888886,0.6587656191677224,,8.63727
VIC,"Gas, Water & Waste Services",2036,,,,,,,,,,0,7.6665899999999985,5.365394817004874,,0.09937111111111098,0.9574534199831893,1.0589313798660749,,2005,7.1576299999999975,18.0,2.8029846992753042,,15.039119577635683,,9.455269999999995,0.6287116709983942,,8.750793
VIC,"Gas, Water & Waste Services",2037,,,,,,,,,,0,7.6665899999999985,5.365394817004874,,0.09937111111111098,0.9574534199831893,1.0589313798660749,,2005,7.1576299999999975,19.0,2.968168455347093,,15.925395646316653,,9.554641111111106,0.5999625581246376,,8.863485
VIC,"Gas, Water & Waste Services",2038,,,,,,,,,,0,7.6665899999999985,5.365394817004874,,0.09937111111111098,0.9574534199831893,1.0589313798660749,,2005,7.1576299999999975,20.0,3.143086718095653,,16.863901186667274,,9.654012222222217,0.5724661284101185,,8.975448
VIC,"Gas, Water & Waste Services",2039,,,,,,,,,,0,7.6665899999999985,5.365394817004874,,0.09937111111111098,0.9574534199831893,1.0589313798660749,,2005,7.1576299999999975,21.0,3.3283131554317626,,17.857714153522718,,9.753383333333328,0.5461719932060464,,9.086783
VIC,"Gas, Water & Waste Services",2040,,,,,,,,,,0,7.6665899999999985,5.365394817004874,,0.09937111111111098,0.9574534199831893,1.0589313798660749,,2005,7.1576299999999975,22.0,3.5244552423077664,,18.910093889843747,,9.85275444444444,0.5210314925901117,,9.197583999999999
VIC,"Gas, Water & Waste Services",2041,,,,,,,,,,0,7.6665899999999985,5.365394817004874,,0.09937111111111098,0.9574534199831893,1.0589313798660749,,2005,7.1576299999999975,23.0,3.7321562530131844,,20.02449181616927,,9.95212555555555,0.4969976590127227,,9.307952
VIC,"Gas, Water & Waste Services",2042,,,,,,,,,,0,7.6665899999999985,5.365394817004874,,0.09937111111111098,0.9574534199831893,1.0589313798660749,,2005,7.1576299999999975,24.0,3.9520973708790508,,21.204562750013046,,10.051496666666662,0.4740251796354762,,9.417962
VIC,"Gas, Water & Waste Services",2043,,,,,,,,,,0,7.6665899999999985,5.365394817004874,,0.09937111111111098,0.9574534199831893,1.0589313798660749,,2005,7.1576299999999975,25.0,4.18499992231004,,22.45417689232809,,10.150867777777773,0.4520703576200122,,9.527694
